"Team","total_payroll","minimum_salary","maximum_salary","first_quartile_salary","median_salary","third_quartile_salary","average_salary","interquartile_range","standard_deviation"
"WAS",78623817,176375,15851950,1100602,3300000,5694674,4624930.41176471,4594072,4744555.83082773
"UTA",59933888,99418,15409570,981348,2239800,3e+06,3525522.82352941,2018652,4433752.61803637
"TOR",71784665,328955,13500000,1520340,3e+06,6451506.25,4486541.5625,4931166.25,4088631.16882248
"SAS",86857388,317475,19500000,1142879,1499187,7e+06,5109258.11764706,5857121,6097830.94585461
"SAC",70847101,525093,14728844,998384.5,3156600,6916666.5,4723140.06666667,5918282,4508271.40189204
"POR",48507180,525093,7500000,921721.75,2746330,4427215.25,3031698.75,3505493.5,2322363.58697813
"PHO",67701209,55722,13086957,228663,1160160,4600000,3223867.0952381,4371337,4340651.27534297
"PHI",33163582,172739,6500000,856467.5,1025000,2644838.5,1842421.22222222,1788371,1667303.06980978
"ORL",60323249,161776,11250000,1791322.5,3741480,5096260,4021549.93333333,3304937.5,3143689.50774644
"OKC",94622660,352750,20158622,1742280,3344000,8744215,6308177.33333333,7001935,6616957.25356614
"NYK",74943775,59731,22875000,1228374.25,2225000,5525703,4683985.9375,4297328.75,5967773.17427175
"NOP",80157629,44000,15514031,137983.25,1437100,7428047.5,4007881.45,7290064.25,4836943.56808762
"MIN",68808417,247623,12365000,1493000.25,2102640,6090260,4300526.0625,4597259.75,3914353.68831347
"MIL",69128026,57726,16400000,1460520,2254167,5514330,4320501.625,4053810,4956302.77039103
"MIA",85808715,12355,22192730,913203.5,2170465,7847668.5,5720581,6934465,7459939.41098273
"MEM",83037255,30888,19700000,171453,1216140,5042134.75,3459885.625,4870681.75,4680161.94767194
"LAL",72230125,525093,2.5e+07,913203.5,1724250,5161144.5,4815341.66666667,4247941,6804634.88454589
"LAC",94635714,61776,21468696,1070787,2185482,7450250,5914732.125,6379463,7442264.24206763
"IND",69686088,265058,17120106,1179440,4e+06,5750000,4645739.2,4570560,4484878.12077156
"HOU",90188412,83583,22359364,1200180,1967302.5,7769772.5,5010467.33333333,6569592.5,6233919.18118298
"GSW",93707197,458575,15500000,1236213,3844199,11455703.5,5856699.8125,10219490.5,5310426.41359519
"DET",67168286,99418,1.6e+07,1711452.5,2891760,5635000,4477885.73333333,3923547.5,4686346.7192344
"DEN",56495874,99418,1.4e+07,587500,1775860,3275559.75,3138659.66666667,2688059.75,3814471.34380414
"DAL",71590276,525093,16400000,1359982,3950313,5350000,4772685.06666667,3990018,5004334.61004954
"CLE",105962520,8819,22971000,1399500,4950000,11630435,7064168,10230935,7481394.86373996
"CHO",77529865,301444,13833333,1642892,4204200,6665702,5168657.66666667,5022810,4449416.60857836
"CHI",85385898,525090,20093063,1203290.5,2380440,7974380,5692393.2,6771089.5,6127832.50783157
"BRK",78530105,161622,24894863,981300,1362900,3425510,4619417.94117647,2444210,7286931.68164598
"BOS",73029447,61776,15493680,1805730,3021242.5,6228217.25,4564340.4375,4422487.25,4231739.75681609
"ATL",71378126,388025,1.9e+07,1152260,2870000,6873239.5,4758541.73333333,5720979.5,5217410.47043492
