"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Amir Johnson",90,"PF",205.74,240,1987-05-01,"us","10",NA,"BOS",6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,2,1.2e+07
"Avery Bradley",0,"SG",187.96,180,1990-11-26,"us","5","University of Texas at Austin","BOS",2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,3,7730337
"Coty Clarke",63,"SF",200.66,232,1992-07-04,"us","R","University of Arkansas","BOS",16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,18,61776
"David Lee",42,"PF",205.74,245,1983-04-29,"us","10","University of Florida","BOS",11,32,30,4,470,87,192,0.453,0,1,0,87,191,0.455,0.453,40,51,0.784,41,89,130,54,12,13,38,51,214,1,15493680
"Evan Turner",11,"SG",200.66,220,1988-10-27,"us","5","Ohio State University","BOS",4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,8,3425510
"Isaiah Thomas",4,"PG",175.26,185,1989-02-07,"us","4","University of Washington","BOS",1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,4,6912869
"Jae Crowder",99,"SF",198.12,235,1990-07-06,"us","3","Marquette University","BOS",3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,5,6e+06
"James Young",13,"SG",198.12,215,1995-08-16,"us","1","University of Kentucky","BOS",14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,15,1749840
"Jared Sullinger",7,"PF",205.74,260,1992-03-04,"us","3","Ohio State University","BOS",5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,10,2269260
"Jonas Jerebko",8,"PF",208.28,231,1987-03-02,"se","5",NA,"BOS",9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,6,5e+06
"Jordan Mickey",55,"PF",203.2,235,1994-07-09,"us","R","Louisiana State University","BOS",15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,16,1200000
"Kelly Olynyk",41,"C",213.36,238,1991-04-19,"ca","2","Gonzaga University","BOS",8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,11,2165160
"Marcus Smart",36,"PG",193.04,220,1994-03-06,"us","1","Oklahoma State University","BOS",7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,7,3431040
"R.J. Hunter",28,"SG",195.58,185,1993-10-24,"us","R","Georgia State University","BOS",12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,17,1148640
"Terry Rozier",12,"PG",187.96,190,1994-03-17,"us","R","University of Louisville","BOS",13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,14,1824360
"Tyler Zeller",44,"C",213.36,253,1990-01-17,"us","3","University of North Carolina","BOS",10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,9,2616975
