"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Andrea Bargnani",9,"C",213.36,245,1985-10-26,"it","9",NA,"BRK",11,30,46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,10,1362900
"Bojan Bogdanovic",44,"SF",203.2,216,1989-04-18,"ba","1",NA,"BRK",3,26,79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,6,3425510
"Brook Lopez",11,"C",213.36,275,1988-04-01,"us","7","Stanford University","BRK",1,27,73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,2,2e+07
"Chris McCullough",1,"PF",210.82,200,1995-02-05,"us","R","Syracuse University","BRK",16,20,24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,12,1140240
"Donald Sloan",15,"PG",190.5,205,1988-01-15,"us","4","Texas A&M University","BRK",7,28,61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424,13,1015421
"Henry Sims",14,"C",208.28,248,1990-03-27,"us","3","Georgetown University","BRK",17,25,14,4,263,33,77,0.429,0,0,NA,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91,18,161622
"Jarrett Jack",2,"PG",190.5,200,1983-10-28,"us","10","Georgia Institute of Technology","BRK",8,32,32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411,4,6300000
"Joe Johnson",7,"SF",200.66,240,1981-06-29,"us","14","University of Arkansas","BRK",4,34,57,57,1934,247,608,0.406,85,229,0.371,162,379,0.427,0.476,92,108,0.852,34,190,224,232,40,2,116,100,671,1,24894863
"Markel Brown",22,"SG",190.5,190,1992-01-29,"us","1","Oklahoma State University","BRK",9,24,62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363,16,845059
"Rondae Hollis-Jefferson",24,"SF",200.66,220,1995-01-03,"us","R","University of Arizona","BRK",12,21,29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,11,1335480
"Sean Kilpatrick",6,"SG",193.04,210,1990-01-06,"us","1","University of Cincinnati","BRK",13,26,23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318,17,320594
"Sergey Karasev",10,"SF",200.66,208,1993-10-26,"ru","2",NA,"BRK",15,22,40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97,7,1599840
"Shane Larkin",0,"PG",180.34,175,1992-10-02,"us","2","University of Miami","BRK",5,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,8,1500000
"Thaddeus Young",30,"PF",203.2,221,1988-06-21,"us","8","Georgia Institute of Technology","BRK",2,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,135,112,37,136,182,1102,3,11200000
"Thomas Robinson",41,"PF",208.28,237,1991-03-17,"us","3","University of Kansas","BRK",10,24,71,7,917,130,291,0.447,0,1,0,130,290,0.448,0.447,47,109,0.431,136,223,359,46,39,36,69,111,307,14,981300
"Wayne Ellington",21,"SG",193.04,200,1987-10-29,"us","6","University of North Carolina","BRK",6,28,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,9,1500000
"Willie Reed",33,"PF",208.28,220,1990-05-16,"us","R","Saint Louis University","BRK",14,25,39,2,426,76,133,0.571,0,0,NA,76,133,0.571,0.571,30,55,0.545,49,73,122,10,6,30,16,47,182,15,947276
