"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Aaron Brooks",0,"PG",182.88,161,1985-01-14,"us","7","University of Oregon","CHI",9,31,69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,9,2e+06
"Bobby Portis",5,"PF",210.82,230,1995-02-10,"us","R","University of Arkansas","CHI",10,20,62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,11,1391160
"Cameron Bairstow",41,"C",205.74,250,1990-12-07,"au","1","University of New Mexico","CHI",16,25,18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,14,845059
"Cristiano Felicio",6,"C",208.28,275,1992-07-07,"br","R",NA,"CHI",15,23,31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,15,525090
"Derrick Rose",1,"PG",190.5,190,1988-10-04,"us","6","University of Memphis","CHI",3,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,1,20093063
"Doug McDermott",3,"SF",203.2,225,1992-01-03,"us","1","Creighton University","CHI",5,24,81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764,8,2380440
"E'Twaun Moore",55,"SG",193.04,191,1989-02-28,"us","4","Purdue University","CHI",8,26,59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443,12,1015421
"Jimmy Butler",21,"SG",200.66,220,1989-09-14,"us","4","Marquette University","CHI",1,26,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,2,15260000
"Joakim Noah",13,"C",210.82,230,1985-02-25,"us","8","University of Florida","CHI",12,30,29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,3,13400000
"Justin Holiday",7,"SG",198.12,185,1989-04-05,"us","2","University of Washington","CHI",14,26,27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176,13,947300
"Mike Dunleavy",34,"SF",205.74,230,1980-09-15,"us","13","Duke University","CHI",11,35,31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222,7,4500000
"Nikola Mirotic",44,"PF",208.28,220,1991-02-11,"me","1",NA,"CHI",6,24,66,38,1646,248,609,0.407,135,346,0.39,113,263,0.43,0.518,146,181,0.807,58,304,362,100,58,46,102,151,777,6,5543725
"Pau Gasol",16,"C",213.36,250,1980-07-06,"es","14",NA,"CHI",2,35,72,72,2291,467,995,0.469,24,69,0.348,443,926,0.478,0.481,229,289,0.792,155,638,793,294,42,146,164,148,1187,5,7448760
"Taj Gibson",22,"PF",205.74,225,1985-06-24,"us","6","University of Southern California","CHI",4,30,73,55,1936,263,500,0.526,0,3,0,263,497,0.529,0.526,101,146,0.692,206,298,504,106,47,77,78,180,627,4,8500000
"Tony Snell",20,"SF",200.66,200,1991-11-10,"us","2","University of New Mexico","CHI",7,24,64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,10,1535880
