"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Aaron Harrison","9","SG",198.12,210,1994-10-28,"us","R","University of Kentucky","CHO",16,21,21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,14,525093
"Al Jefferson","25","C",208.28,289,1985-01-04,"us","11",NA,"CHO",8,31,47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,1,13833333
"Cody Zeller","40","C",213.36,240,1992-10-05,"us","2","Indiana University","CHO",5,23,73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,8,4204200
"Courtney Lee","1","SG",195.58,200,1985-10-03,"us","7","Western Kentucky University","CHO",11,30,28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,6,5675000
"Frank Kaminsky","44","C",213.36,242,1993-04-04,"us","R","University of Wisconsin","CHO",6,22,81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,10,2612500
"Jeremy Lamb","3","SG",195.58,185,1992-05-30,"us","3","University of Connecticut","CHO",7,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,9,3034356
"Jeremy Lin","7","SG",190.5,200,1988-08-23,"us","5","Harvard University","CHO",4,27,78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,11,2100000
"Jorge Gutierrez","12","PG",190.5,191,1988-12-27,"mx","2","University of California","CHO",17,27,12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22,15,301444
"Kemba Walker","15","PG",185.42,172,1990-05-08,"us","4","University of Connecticut","CHO",1,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,126,39,171,111,1689,3,1.2e+07
"Marvin Williams","2","PF",205.74,237,1986-06-19,"us","10","University of North Carolina","CHO",3,29,81,81,2338,338,747,0.452,152,378,0.402,186,369,0.504,0.554,120,144,0.833,127,394,521,110,58,77,62,133,948,4,7e+06
"Michael Kidd-Gilchrist","14","SF",200.66,232,1993-09-26,"us","3","University of Kentucky","CHO",15,22,7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89,5,6331404
"Nicolas Batum","5","SF",203.2,200,1988-12-14,"fr","7",NA,"CHO",2,27,70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046,2,12235750
"Spencer Hawes","00","PF",215.9,245,1988-04-28,"us","8","University of Washington","CHO",9,27,57,6,1035,124,306,0.405,38,102,0.373,86,204,0.422,0.467,54,65,0.831,51,193,244,109,22,27,58,111,340,7,5543725
"Troy Daniels","30","SG",193.04,205,1991-07-15,"us","2","Virginia Commonwealth University","CHO",12,24,43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242,13,947276
"Tyler Hansbrough","50","PF",205.74,250,1985-11-03,"us","6","University of North Carolina","CHO",13,30,44,0,343,32,71,0.451,2,3,0.667,30,68,0.441,0.465,38,65,0.585,40,49,89,8,12,7,12,55,104,12,1185784
