"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Channing Frye",9,"C",210.82,255,1983-05-17,"us","9","University of Arizona","CLE",12,32,26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196,6,7807579
"Dahntay Jones",30,"SF",198.12,225,1980-12-27,"us","11","Duke University","CLE",17,35,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,NA,1,4,5,2,1,2,0,6,13,15,8819
"Iman Shumpert",4,"SG",195.58,220,1990-06-26,"us","4","Georgia Institute of Technology","CLE",9,25,54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311,5,9e+06
"J.R. Smith",5,"SG",198.12,225,1985-09-09,"us","11",NA,"CLE",3,30,77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955,7,5e+06
"James Jones",1,"SF",203.2,218,1980-10-04,"us","12","University of Miami","CLE",11,35,48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178,10,1499000
"Jordan McRae",12,"PG",198.12,185,1991-03-28,"us","R","University of Tennessee","CLE",15,24,15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62,14,172972
"Kevin Love",0,"PF",208.28,251,1988-09-07,"us","7","University of California, Los Angeles","CLE",2,27,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234,2,19500000
"Kyrie Irving",2,"PG",190.5,193,1992-03-23,"au","4","Duke University","CLE",6,23,53,53,1667,394,879,0.448,84,262,0.321,310,617,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,3,14746000
"LeBron James",23,"SF",203.2,250,1984-12-30,"us","12",NA,"CLE",1,31,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,1,22971000
"Matthew Dellavedova",8,"PG",193.04,198,1990-09-08,"au","2","Saint Mary's College of California","CLE",5,25,76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569,13,1147280
"Mo Williams",52,"PG",185.42,198,1982-12-19,"us","12","University of Alabama","CLE",10,33,41,14,748,132,302,0.437,36,102,0.353,96,200,0.48,0.497,38,42,0.905,6,66,72,98,14,5,57,60,338,9,2100000
"Richard Jefferson",24,"SF",200.66,233,1980-06-21,"us","14","University of Arizona","CLE",8,35,74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410,11,1499000
"Sasha Kaun",14,"C",210.82,260,1985-05-08,"ru","R","University of Kansas","CLE",16,30,25,0,95,9,17,0.529,0,0,NA,9,17,0.529,0.529,5,11,0.455,12,14,26,3,4,5,7,11,23,12,1300000
"Timofey Mozgov",20,"C",215.9,275,1986-07-16,"ru","5",NA,"CLE",7,29,76,48,1326,203,359,0.565,1,7,0.143,202,352,0.574,0.567,68,95,0.716,110,227,337,33,22,57,71,159,475,8,4950000
"Tristan Thompson",13,"PF",205.74,238,1991-03-13,"ca","4","University of Texas at Austin","CLE",4,24,82,34,2269,247,420,0.588,0,0,NA,247,420,0.588,0.588,149,242,0.616,268,470,738,62,38,51,61,202,643,4,14260870
