"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Chandler Parsons",25,"SF",208.28,230,1988-10-25,"us","4","University of Florida","DAL",6,27,61,51,1799,320,651,0.492,104,251,0.414,216,400,0.54,0.571,93,136,0.684,29,256,285,169,46,21,95,114,837,2,15361500
"Charlie Villanueva",3,"PF",210.82,232,1984-08-24,"us","10","University of Connecticut","DAL",10,31,62,4,665,125,327,0.382,47,172,0.273,78,155,0.503,0.454,22,24,0.917,24,128,152,24,18,15,31,71,319,10,1499187
"David Lee",42,"PF",205.74,245,1983-04-29,"us","10","University of Florida","DAL",12,32,25,1,433,91,143,0.636,0,0,NA,91,143,0.636,0.636,31,42,0.738,60,115,175,30,10,15,28,63,213,9,2102224
"Deron Williams",8,"PG",190.5,200,1984-06-26,"us","10","University of Illinois at Urbana-Champaign","DAL",4,31,65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918,4,5500000
"Devin Harris",34,"PG",190.5,192,1983-02-27,"us","11","University of Wisconsin","DAL",8,32,64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487,6,4053000
"Dirk Nowitzki",41,"PF",213.36,245,1978-06-19,"de","17",NA,"DAL",2,37,75,75,2364,498,1112,0.448,126,342,0.368,372,770,0.483,0.504,250,280,0.893,52,437,489,132,52,52,84,161,1372,3,8333334
"Dwight Powell",7,"PF",210.82,240,1991-07-20,"ca","1","Stanford University","DAL",9,24,69,2,992,146,296,0.493,2,16,0.125,144,280,0.514,0.497,105,142,0.739,84,189,273,44,36,24,40,118,399,15,845059
"J.J. Barea",5,"PG",182.88,185,1984-06-26,"pr","9","Northeastern University","DAL",7,31,74,16,1667,317,711,0.446,100,260,0.385,217,451,0.481,0.516,74,96,0.771,26,126,152,302,26,2,113,110,808,7,4e+06
"JaVale McGee",11,"C",213.36,270,1988-01-19,"us","7","University of Nevada, Reno","DAL",14,28,34,2,370,77,134,0.575,0,1,0,77,133,0.579,0.575,18,36,0.5,53,80,133,3,5,26,21,49,172,13,1270964
"Jeremy Evans",21,"SF",205.74,200,1987-10-24,"us","5","Western Kentucky University","DAL",15,28,30,2,251,26,48,0.542,4,16,0.25,22,32,0.688,0.583,15,21,0.714,11,43,54,2,6,9,7,19,71,14,1100602
"Justin Anderson",1,"SF",198.12,228,1993-11-19,"us","R","University of Virginia","DAL",11,22,55,9,647,71,175,0.406,22,83,0.265,49,92,0.533,0.469,44,55,0.8,18,114,132,29,19,25,24,45,208,12,1449000
"Raymond Felton",2,"PG",185.42,205,1984-06-26,"us","10","University of North Carolina","DAL",3,31,80,31,2192,277,682,0.406,60,213,0.282,217,469,0.463,0.45,149,176,0.847,36,222,258,284,68,15,121,141,763,8,3950313
"Salah Mejri",50,"C",215.9,245,1986-06-15,"tn","R",NA,"DAL",13,29,34,6,397,49,78,0.628,0,1,0,49,77,0.636,0.628,27,46,0.587,41,82,123,10,8,36,23,54,125,17,525093
"Wesley Matthews",23,"SG",195.58,220,1986-10-14,"us","6","Marquette University","DAL",1,29,78,78,2644,331,854,0.388,189,525,0.36,142,329,0.432,0.498,126,146,0.863,27,211,238,151,78,17,78,179,977,1,16400000
"Zaza Pachulia",27,"C",210.82,270,1984-02-10,"ge","12",NA,"DAL",5,31,76,69,2004,219,470,0.466,0,3,0,219,467,0.469,0.466,212,276,0.768,249,469,718,128,64,22,119,181,650,5,5200000
