"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Axel Toupane","6","SF",200.66,197,1992-07-23,"fr","R",NA,"DEN",16,23,21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76,20,123552
"D.J. Augustin","12","PG",182.88,183,1987-11-10,"us","7","University of Texas at Austin","DEN",11,28,28,0,659,102,229,0.445,44,107,0.411,58,122,0.475,0.541,77,94,0.819,3,49,52,132,25,2,54,44,325,9,3e+06
"Danilo Gallinari","8","SF",208.28,225,1988-08-08,"it","6",NA,"DEN",4,27,53,53,1839,287,700,0.41,87,239,0.364,200,461,0.434,0.472,375,432,0.868,52,229,281,135,42,19,77,87,1036,1,1.4e+07
"Darrell Arthur","00","PF",205.74,235,1988-03-25,"us","6","University of Kansas","DEN",7,27,70,16,1516,221,489,0.452,45,117,0.385,176,372,0.473,0.498,40,53,0.755,86,207,293,96,53,48,66,185,527,10,2814000
"Emmanuel Mudiay","0","PG",195.58,200,1996-03-05,"cd","R",NA,"DEN",3,19,68,66,2068,329,905,0.364,74,232,0.319,255,673,0.379,0.404,140,209,0.67,32,200,232,372,65,35,217,141,872,8,3102240
"Erick Green","11","PG",193.04,185,1991-05-09,"us","1","Virginia Polytechnic Institute and State University","DEN",19,24,3,0,7,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0,0,0,21,1e+05
"Gary Harris","14","SG",193.04,210,1994-09-14,"us","1","Michigan State University","DEN",1,21,76,76,2439,359,765,0.469,105,297,0.354,254,468,0.543,0.538,109,133,0.82,54,166,220,147,97,18,98,143,932,13,1587480
"J.J. Hickson","7","C",205.74,242,1988-09-04,"us","7","North Carolina State University","DEN",15,27,20,9,305,55,109,0.505,0,0,NA,55,109,0.505,0.505,27,59,0.458,22,65,87,16,10,12,16,35,137,4,5613500
"JaKarr Sampson","9","SF",205.74,214,1993-03-20,"us","1","St. John's University","DEN",13,22,26,22,469,54,115,0.47,8,29,0.276,46,86,0.535,0.504,18,25,0.72,16,45,61,16,12,17,19,51,134,19,285489
"Jameer Nelson","1","PG",182.88,190,1982-02-09,"us","11","Saint Joseph's University","DEN",10,33,39,15,1036,113,307,0.368,43,144,0.299,70,163,0.429,0.438,30,35,0.857,19,96,115,190,25,5,66,100,299,5,4500000
"Joffrey Lauvergne","77","C",210.82,220,1991-09-30,"fr","1",NA,"DEN",9,24,59,15,1041,195,380,0.513,13,53,0.245,182,327,0.557,0.53,62,69,0.899,77,213,290,56,13,15,54,115,465,12,1709720
"Jusuf Nurkic","23","C",213.36,280,1994-08-23,"ba","1",NA,"DEN",12,21,32,3,547,101,242,0.417,0,3,0,101,239,0.423,0.417,61,99,0.616,65,110,175,40,24,44,55,91,263,11,1842000
"Kenneth Faried","35","PF",203.2,228,1989-11-19,"us","4","Morehead State University","DEN",6,26,67,64,1694,349,626,0.558,1,2,0.5,348,624,0.558,0.558,136,222,0.613,235,346,581,79,32,60,91,169,835,2,11235955
"Kostas Papanikolaou","16","SF",203.2,225,1990-07-31,"gr","1",NA,"DEN",17,25,26,6,294,24,66,0.364,10,32,0.313,14,34,0.412,0.439,9,14,0.643,8,32,40,16,13,5,21,24,67,18,350000
"Mike Miller","3","SF",203.2,218,1980-02-19,"us","15","University of Florida","DEN",14,35,47,2,373,22,62,0.355,19,52,0.365,3,10,0.3,0.508,0,0,NA,6,47,53,40,13,4,17,53,63,14,1499187
"Nikola Jokic","15","C",208.28,250,1995-02-19,"rs","R",NA,"DEN",5,20,80,55,1733,307,600,0.512,28,84,0.333,279,516,0.541,0.535,154,190,0.811,181,379,560,189,79,50,104,208,796,15,1300000
"Sean Kilpatrick","6","SG",193.04,210,1990-01-06,"us","1","University of Cincinnati","DEN",18,26,8,0,82,8,21,0.381,4,17,0.235,4,4,1,0.476,7,8,0.875,2,4,6,3,2,0,4,7,27,22,99418
"Will Barton","5","SG",198.12,175,1991-01-06,"us","3","University of Memphis","DEN",2,25,82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178,7,3333333
