"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Andre Drummond",0,"C",210.82,279,1993-08-10,"us","3","University of Connecticut","DET",3,22,81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,7,3272091
"Anthony Tolliver",43,"PF",203.2,240,1985-06-01,"us","7","Creighton University","DET",7,30,72,5,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.533,29,47,0.617,39,190,229,52,26,16,28,86,383,8,3e+06
"Aron Baynes",12,"C",208.28,260,1986-12-09,"nz","3","Washington State University","DET",8,29,81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,3,6500000
"Darrun Hilliard",6,"SG",198.12,205,1993-04-13,"us","R","Villanova University","DET",13,22,38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152,17,525093
"Jodie Meeks",20,"SG",193.04,210,1987-08-21,"us","6","University of Kentucky","DET",16,28,3,0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1,1,4,5,3,0,0,1,2,22,4,6270000
"Joel Anthony",50,"C",205.74,245,1982-08-09,"ca","8","University of Nevada, Las Vegas","DET",15,33,19,0,96,6,10,0.6,0,0,NA,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18,11,2500000
"Justin Harper",32,"PF",208.28,225,1989-08-30,"us","1","University of Richmond","DET",17,26,5,0,35,4,10,0.4,4,9,0.444,0,1,0,0.6,1,2,0.5,0,1,1,0,1,0,2,3,13,20,99418
"Kentavious Caldwell-Pope",5,"SG",195.58,205,1993-02-18,"us","2","University of Georgia","DET",2,22,76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,9,2891760
"Marcus Morris",13,"SF",205.74,235,1989-09-02,"us","4","University of Kansas","DET",1,26,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,6,5e+06
"Reggie Bullock",25,"SF",200.66,205,1991-03-16,"us","2","University of North Carolina","DET",11,24,37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,15,1252440
"Reggie Jackson",1,"PG",190.5,208,1990-04-16,"it","4","Boston College","DET",4,25,79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489,2,1.4e+07
"Spencer Dinwiddie",8,"PG",198.12,200,1993-04-06,"us","1","University of Colorado","DET",14,22,12,0,159,19,54,0.352,1,10,0.1,18,44,0.409,0.361,19,33,0.576,4,13,17,22,3,0,7,20,58,16,845059
"Stanley Johnson",3,"SF",200.66,245,1996-05-29,"us","R","University of Arizona","DET",5,19,73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593,10,2841960
"Steve Blake",22,"PG",190.5,172,1980-02-26,"us","12","University of Maryland","DET",9,35,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254,13,2170465
"Tobias Harris",34,"PF",205.74,235,1992-07-15,"us","4","University of Tennessee","DET",10,23,27,25,903,166,348,0.477,33,88,0.375,133,260,0.512,0.524,82,90,0.911,25,143,168,70,18,12,30,62,447,1,1.6e+07
