"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Anderson Varejao",18,"C",208.28,273,1982-09-28,"br","11",NA,"GSW",14,33,22,0,186,21,48,0.438,0,0,NA,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58,16,458575
"Andre Iguodala",9,"SF",198.12,215,1984-01-28,"us","11","University of Arizona","GSW",5,32,65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457,4,11710456
"Andrew Bogut",12,"C",213.36,260,1984-11-28,"au","10","University of Utah","GSW",7,31,70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375,3,1.2e+07
"Brandon Rush",4,"SG",198.12,220,1985-07-07,"us","7","University of Kansas","GSW",9,30,72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305,12,1270964
"Draymond Green",23,"PF",200.66,230,1990-03-04,"us","3","Michigan State University","GSW",1,25,81,81,2808,401,819,0.49,100,258,0.388,301,561,0.537,0.551,229,329,0.696,134,635,769,598,119,113,259,240,1131,2,14300000
"Festus Ezeli",31,"C",210.82,255,1989-10-21,"ng","2","Vanderbilt University","GSW",11,26,46,13,770,125,228,0.548,0,0,NA,125,228,0.548,0.548,70,132,0.53,91,166,257,32,18,50,38,94,320,11,2008748
"Harrison Barnes",40,"SF",203.2,210,1992-05-30,"us","3","University of North Carolina","GSW",4,23,66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774,8,3873398
"Ian Clark",21,"SG",190.5,175,1991-03-07,"us","2","Belmont University","GSW",12,24,66,1,578,89,202,0.441,30,84,0.357,59,118,0.5,0.515,28,34,0.824,13,55,68,64,17,13,43,58,236,14,947276
"James Michael McAdoo",20,"PF",205.74,230,1993-01-04,"us","1","University of North Carolina","GSW",13,23,41,1,262,45,84,0.536,1,2,0.5,44,82,0.537,0.542,26,49,0.531,30,28,58,17,10,8,16,39,117,15,845059
"Jason Thompson",1,"C",210.82,250,1986-07-21,"us","7","Rider University","GSW",15,29,28,1,179,20,42,0.476,0,0,NA,20,42,0.476,0.476,20,32,0.625,10,44,54,19,4,8,7,40,60,6,6431250
"Kevon Looney",36,"PF",205.74,220,1996-02-06,"us","R","University of California, Los Angeles","GSW",16,19,5,0,21,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,NA,4,6,10,0,0,0,1,2,9,13,1131960
"Klay Thompson",11,"SG",200.66,215,1990-02-08,"us","4","Washington State University","GSW",3,25,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771,1,15500000
"Leandro Barbosa",19,"SG",190.5,194,1982-11-28,"br","12",NA,"GSW",8,33,68,0,1079,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433,10,2500000
"Marreese Speights",5,"C",208.28,255,1987-08-04,"us","7","University of Florida","GSW",10,28,72,0,832,197,456,0.432,24,62,0.387,173,394,0.439,0.458,94,114,0.825,77,162,239,61,19,34,66,117,512,9,3815000
"Shaun Livingston",34,"PG",200.66,192,1985-09-11,"us","10",NA,"GSW",6,30,78,3,1520,203,379,0.536,2,12,0.167,201,367,0.548,0.538,80,93,0.86,42,127,169,237,57,27,78,140,488,7,5543725
"Stephen Curry",30,"PG",190.5,190,1988-03-14,"us","6","Davidson College","GSW",2,27,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375,5,11370786
