"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Andrew Goudelock",0,"PG",190.5,200,1988-12-07,"us","2","College of Charleston","HOU",16,27,8,0,50,9,20,0.45,1,9,0.111,8,11,0.727,0.475,3,4,0.75,1,1,2,4,6,2,7,4,22,17,200600
"Chuck Hayes",44,"C",198.12,240,1983-06-11,"us","10","University of Kentucky","HOU",17,32,2,0,24,1,2,0.5,0,0,NA,1,2,0.5,0.5,2,2,1,0,8,8,2,0,0,3,6,4,18,83583
"Clint Capela",15,"C",208.28,240,1994-05-18,"ch","1",NA,"HOU",6,21,77,35,1471,231,397,0.582,0,1,0,231,396,0.583,0.582,80,211,0.379,194,300,494,47,59,92,60,190,542,13,1242720
"Corey Brewer",33,"SF",205.74,186,1986-03-05,"us","8","University of Florida","HOU",5,29,82,12,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590,4,8200000
"Donatas Motiejunas",20,"PF",213.36,222,1990-09-20,"lt","3",NA,"HOU",11,25,37,22,547,90,205,0.439,16,57,0.281,74,148,0.5,0.478,34,53,0.642,37,72,109,41,17,5,44,69,230,9,2288205
"Dwight Howard",12,"C",210.82,265,1985-12-08,"us","11",NA,"HOU",3,30,71,71,2280,372,600,0.62,0,6,0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976,1,22359364
"James Harden",13,"SG",195.58,220,1989-08-26,"us","6","Arizona State University","HOU",1,26,82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376,2,15756438
"Jason Terry",31,"SG",187.96,185,1977-09-15,"us","16","University of Arizona","HOU",7,38,72,7,1258,151,376,0.402,93,261,0.356,58,115,0.504,0.525,27,33,0.818,14,65,79,103,47,9,49,91,422,11,1499187
"Josh Smith",5,"PF",205.74,225,1985-12-05,"us","11",NA,"HOU",12,30,23,6,421,58,169,0.343,23,85,0.271,35,84,0.417,0.411,12,25,0.48,18,49,67,48,16,13,36,56,151,12,1499000
"K.J. McDaniels",32,"SF",198.12,205,1993-02-09,"us","1","Clemson University","HOU",15,22,37,1,235,29,72,0.403,7,25,0.28,22,47,0.468,0.451,24,30,0.8,16,26,42,10,7,6,17,30,89,7,3333333
"Marcus Thornton",10,"SG",193.04,205,1987-06-05,"us","6","Louisiana State University","HOU",10,28,47,6,885,174,435,0.4,73,216,0.338,101,219,0.461,0.484,51,58,0.879,31,84,115,66,34,3,40,73,472,14,1186000
"Michael Beasley",8,"SF",205.74,235,1989-01-09,"us","7","Kansas State University","HOU",14,27,20,0,363,107,205,0.522,3,9,0.333,104,196,0.531,0.529,38,49,0.776,29,69,98,16,11,9,24,39,255,16,306527
"Montrezl Harrell",35,"PF",203.2,240,1994-01-26,"us","R","University of Louisville","HOU",13,22,39,1,379,58,90,0.644,0,1,0,58,89,0.652,0.644,24,46,0.522,25,40,65,17,11,11,17,48,140,15,1e+06
"Patrick Beverley",2,"PG",185.42,185,1988-07-12,"us","3","University of Arkansas","HOU",4,27,71,63,2041,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700,6,6500000
"Sam Dekker",7,"SF",205.74,230,1994-05-06,"us","R","University of Wisconsin","HOU",18,21,3,0,6,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,1,0,0,0,0,10,1646400
"Terrence Jones",6,"PF",205.74,252,1992-01-09,"us","3","University of Kentucky","HOU",9,24,50,11,1044,166,367,0.452,25,79,0.316,141,288,0.49,0.486,77,116,0.664,62,149,211,41,23,39,49,86,434,8,2489530
"Trevor Ariza",1,"SF",203.2,215,1985-06-30,"us","11","University of California, Los Angeles","HOU",2,30,81,81,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025,5,8193030
"Ty Lawson",3,"PG",180.34,195,1987-11-03,"us","6","University of North Carolina","HOU",8,28,53,12,1176,111,287,0.387,31,94,0.33,80,193,0.415,0.441,56,80,0.7,20,69,89,180,43,6,82,71,309,3,12404495
