"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"C.J. Miles",0,"SF",198.12,225,1987-04-18,"us","10",NA,"IND",7,28,64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753,6,4394225
"Chase Budinger",10,"SF",200.66,209,1988-05-22,"us","6","University of Arizona","IND",11,27,49,2,729,81,194,0.418,20,69,0.29,61,125,0.488,0.469,34,48,0.708,31,90,121,49,29,9,31,46,216,5,5e+06
"George Hill",3,"PG",190.5,188,1986-05-04,"us","7","Indiana University-Purdue University Indianapolis","IND",3,29,74,73,2524,326,739,0.441,128,314,0.408,198,425,0.466,0.528,114,150,0.76,58,240,298,259,83,17,101,149,894,3,8e+06
"Glenn Robinson",40,"SF",198.12,222,1994-01-08,"us","1","University of Michigan","IND",12,22,45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171,15,845000
"Ian Mahinmi",28,"C",210.82,250,1986-11-05,"fr","7",NA,"IND",4,29,71,71,1816,264,448,0.589,0,0,NA,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,8,4e+06
"Jordan Hill",27,"C",208.28,235,1987-07-27,"us","6","University of Arizona","IND",6,28,73,11,1513,278,549,0.506,0,1,0,278,548,0.507,0.506,89,125,0.712,156,295,451,87,36,37,92,155,645,7,4e+06
"Lavoy Allen",5,"PF",205.74,260,1989-02-04,"us","4","Temple University","IND",5,26,79,28,1599,191,370,0.516,0,0,NA,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428,9,3700000
"Monta Ellis",11,"SG",190.5,185,1985-10-26,"us","10",NA,"IND",2,30,81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121,2,10300000
"Myles Turner",33,"C",210.82,243,1996-03-24,"us","R","University of Texas at Austin","IND",8,19,60,30,1367,264,530,0.498,3,14,0.214,261,516,0.506,0.501,88,121,0.727,68,264,332,41,25,86,67,158,619,10,2357760
"Paul George",13,"SF",205.74,220,1990-05-02,"us","5","California State University, Fresno","IND",1,25,81,81,2819,605,1449,0.418,210,566,0.371,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,1,17120106
"Rakeem Christmas",25,"PF",205.74,250,1991-12-01,"us","R","Syracuse University","IND",16,24,1,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,1,0,1,0,0,0,0,1,4,12,1e+06
"Rodney Stuckey",2,"PG",195.58,210,1986-04-21,"us","8","Eastern Washington University","IND",9,29,58,1,1275,183,443,0.413,20,83,0.241,163,360,0.453,0.436,131,158,0.829,19,137,156,142,43,8,76,77,517,4,6500000
"Shayne Whittington",42,"PF",210.82,250,1991-03-27,"us","1","Western Michigan University","IND",15,24,7,0,41,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,5,7,12,3,1,1,5,7,11,14,845059
"Solomon Hill",44,"SF",200.66,225,1991-03-18,"us","2","University of Arizona","IND",10,24,59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246,11,1358880
"Ty Lawson",10,"PG",180.34,195,1987-11-03,"us","6","University of North Carolina","IND",14,28,13,1,235,28,67,0.418,5,14,0.357,23,53,0.434,0.455,3,6,0.5,6,25,31,57,10,1,13,16,64,17,265058
