"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Anthony Brown",3,"SF",200.66,210,1992-10-10,"us","R","Stanford University","LAL",11,23,29,11,599,39,126,0.31,20,70,0.286,19,56,0.339,0.389,17,20,0.85,9,61,70,19,14,5,15,34,115,14,7e+05
"Brandon Bass",2,"PF",203.2,250,1985-04-30,"us","10","Louisiana State University","LAL",7,30,66,0,1342,174,317,0.549,0,2,0,174,315,0.552,0.549,125,148,0.845,104,181,285,74,33,55,42,125,473,7,3e+06
"D'Angelo Russell",1,"PG",195.58,195,1996-02-23,"us","R","Ohio State University","LAL",3,19,80,48,2259,392,956,0.41,130,370,0.351,262,586,0.447,0.478,140,190,0.737,47,227,274,266,93,13,196,142,1054,5,5103120
"Jordan Clarkson",6,"SG",195.58,194,1992-06-07,"us","1","University of Missouri","LAL",1,23,79,79,2552,475,1098,0.433,111,320,0.347,364,778,0.468,0.483,164,204,0.804,93,220,313,192,88,7,135,168,1225,12,845059
"Julius Randle",30,"PF",205.74,250,1994-11-29,"us","1","University of Kentucky","LAL",2,21,81,60,2286,358,835,0.429,10,36,0.278,348,799,0.436,0.435,193,270,0.715,172,657,829,144,53,29,149,242,919,6,3132240
"Kobe Bryant",24,"SF",198.12,212,1978-08-23,"us","19",NA,"LAL",6,37,66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.417,232,281,0.826,41,206,247,184,62,13,129,115,1161,1,2.5e+07
"Larry Nance Jr.",7,"PF",205.74,230,1993-01-01,"us","R","University of Wyoming","LAL",8,23,63,22,1266,158,300,0.527,1,10,0.1,157,290,0.541,0.528,32,47,0.681,101,211,312,44,54,23,41,124,349,10,1155600
"Lou Williams",23,"SG",185.42,175,1986-10-27,"us","10",NA,"LAL",4,29,67,35,1907,283,693,0.408,110,320,0.344,173,373,0.464,0.488,352,424,0.83,31,138,169,167,62,19,107,107,1028,3,7e+06
"Marcelo Huertas",9,"PG",190.5,200,1983-05-25,"br","R",NA,"LAL",10,32,53,0,869,97,230,0.422,16,61,0.262,81,169,0.479,0.457,27,29,0.931,18,72,90,182,26,7,80,76,237,15,525093
"Metta World Peace",37,"SF",198.12,260,1979-11-13,"us","15","St. John's University","LAL",12,36,35,5,590,55,177,0.311,26,84,0.31,29,93,0.312,0.384,40,57,0.702,19,70,89,27,22,11,15,67,176,9,1499187
"Nick Young",0,"SG",200.66,210,1985-06-01,"us","8","University of Southern California","LAL",9,30,54,2,1033,126,372,0.339,77,237,0.325,49,135,0.363,0.442,63,76,0.829,14,83,97,34,23,7,30,50,392,4,5219169
"Robert Sacre",50,"C",213.36,270,1989-06-06,"us","3","Gonzaga University","LAL",15,26,25,1,320,31,75,0.413,0,0,NA,31,75,0.413,0.413,25,38,0.658,32,40,72,14,4,10,12,43,87,11,981348
"Roy Hibbert",17,"C",218.44,270,1986-12-11,"us","7","Georgetown University","LAL",5,29,81,81,1878,182,411,0.443,0,2,0,182,409,0.445,0.443,117,145,0.807,132,266,398,95,32,110,76,252,481,2,15500000
"Ryan Kelly",4,"PF",210.82,230,1991-04-09,"us","2","Duke University","LAL",14,24,36,0,470,55,149,0.369,5,37,0.135,50,112,0.446,0.386,37,54,0.685,21,100,121,20,13,10,18,39,152,8,1724250
"Tarik Black",28,"C",205.74,250,1991-11-22,"us","1","University of Kansas","LAL",13,24,39,0,496,57,104,0.548,0,0,NA,57,104,0.548,0.548,19,45,0.422,44,113,157,16,14,18,22,78,133,13,845059
