"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Alex Stepheson",35,"PF",208.28,270,1987-08-07,"us","R","University of Southern California","MEM",23,28,4,0,61,8,26,0.308,0,0,NA,8,26,0.308,0.308,4,10,0.4,18,8,26,2,1,3,0,8,20,24,30888
"Brandan Wright",34,"PF",208.28,210,1987-10-05,"us","7","University of North Carolina","MEM",19,28,12,2,212,35,52,0.673,0,0,NA,35,52,0.673,0.673,13,24,0.542,14,29,43,6,5,15,10,21,83,5,5500000
"Briante Weber",2,"PG",187.96,165,1992-12-29,"us","R","Virginia Commonwealth University","MEM",20,23,6,4,166,13,38,0.342,0,5,0,13,33,0.394,0.342,3,4,0.75,8,16,24,20,9,3,9,11,29,23,30888
"Bryce Cotton",8,"PG",185.42,165,1992-08-11,"us","1","Providence College","MEM",27,23,5,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,0,0,0,0,0,0,0,0,4,21,64622
"Chris Andersen",7,"C",208.28,245,1978-07-07,"us","13","Blinn College","MEM",15,37,20,14,366,34,62,0.548,2,9,0.222,32,53,0.604,0.565,22,32,0.688,33,56,89,9,14,10,7,25,92,7,5e+06
"Elliot Williams",25,"PG",195.58,190,1989-06-20,"us","3","University of Memphis","MEM",24,26,5,0,45,2,10,0.2,1,4,0.25,1,6,0.167,0.25,3,4,0.75,1,3,4,4,0,0,1,2,8,22,55722
"James Ennis",8,"SF",200.66,210,1990-07-01,"us","1","California State University, Long Beach","MEM",25,25,10,0,40,4,13,0.308,2,8,0.25,2,5,0.4,0.385,6,10,0.6,4,3,7,2,4,2,2,1,16,14,845059
"JaMychal Green",0,"PF",205.74,227,1990-06-21,"us","1","University of Alabama","MEM",8,25,78,15,1446,230,495,0.465,15,45,0.333,215,450,0.478,0.48,103,137,0.752,139,234,373,67,46,33,83,189,578,15,845059
"Jarell Martin",10,"PF",208.28,239,1994-05-24,"us","R","Louisiana State University","MEM",13,21,27,0,380,54,116,0.466,0,2,0,54,114,0.474,0.466,45,62,0.726,39,47,86,15,8,7,19,58,153,12,1230840
"Jordan Adams",3,"SG",195.58,209,1994-07-08,"us","1","University of California, Los Angeles","MEM",26,21,2,0,15,2,6,0.333,0,1,0,2,5,0.4,0.333,3,5,0.6,0,2,2,3,3,0,2,2,7,11,1404600
"Jordan Farmar",4,"PG",187.96,180,1986-11-30,"us","8","University of California, Los Angeles","MEM",16,29,12,10,291,42,100,0.42,16,45,0.356,26,55,0.473,0.5,10,10,1,4,21,25,37,15,2,18,22,110,18,191456
"Lance Stephenson",1,"SF",195.58,230,1990-09-05,"us","5","University of Cincinnati","MEM",11,25,26,3,692,146,308,0.474,11,31,0.355,135,277,0.487,0.492,66,81,0.815,21,94,115,73,19,6,46,56,369,4,9e+06
"Marc Gasol",33,"C",215.9,255,1985-01-29,"es","7",NA,"MEM",3,31,52,52,1791,328,707,0.464,2,3,0.667,326,704,0.463,0.465,203,245,0.829,58,304,362,196,50,70,118,141,861,1,19700000
"Mario Chalmers",6,"PG",187.96,190,1986-05-19,"us","7","University of Kansas","MEM",9,29,55,7,1253,172,412,0.417,45,138,0.326,127,274,0.464,0.472,206,249,0.827,23,120,143,211,80,12,101,165,595,8,4300000
"Matt Barnes",22,"SF",200.66,226,1980-03-09,"us","12","University of California, Los Angeles","MEM",1,35,76,45,2190,264,693,0.381,119,370,0.322,145,323,0.449,0.467,111,138,0.804,84,336,420,163,78,57,121,234,758,10,3542500
"Mike Conley",11,"PG",185.42,175,1987-10-11,"us","8","Ohio State University","MEM",4,28,56,56,1761,294,696,0.422,78,215,0.363,216,481,0.449,0.478,191,229,0.834,26,138,164,342,67,16,84,100,857,3,9588426
"P.J. Hairston",19,"SF",198.12,230,1992-12-24,"us","1","University of North Carolina","MEM",14,23,18,9,375,46,132,0.348,16,69,0.232,30,63,0.476,0.409,16,22,0.727,7,39,46,9,8,4,17,31,124,13,1201440
"Ray McCallum",5,"PG",190.5,190,1991-06-12,"us","2","University of Detroit Mercy","MEM",18,24,10,3,219,28,79,0.354,10,26,0.385,18,53,0.34,0.418,3,5,0.6,2,14,16,27,7,3,13,15,69,19,111444
"Russ Smith",2,"PG",182.88,165,1991-04-19,"us","1","University of Louisville","MEM",22,24,15,0,66,7,22,0.318,1,5,0.2,6,17,0.353,0.341,8,13,0.615,1,8,9,11,5,1,7,5,23,16,816482
"Ryan Hollins",20,"C",213.36,240,1984-10-10,"us","9","University of California, Los Angeles","MEM",12,31,32,9,412,45,72,0.625,0,0,NA,45,72,0.625,0.625,26,42,0.619,40,47,87,10,6,20,21,58,116,17,593056
"Tony Allen",9,"SG",193.04,213,1982-01-11,"us","11","Oklahoma State University","MEM",5,34,64,57,1620,215,469,0.458,15,42,0.357,200,427,0.468,0.474,90,138,0.652,104,192,296,70,110,18,78,175,535,6,5168539
"Vince Carter",15,"SG",198.12,220,1977-01-26,"us","17","University of North Carolina","MEM",10,39,60,3,1005,133,343,0.388,59,169,0.349,74,174,0.425,0.474,70,84,0.833,31,115,146,56,38,16,35,101,395,9,4088091
"Xavier Munford",14,"SG",187.96,180,1992-06-01,"us","R","University of Rhode Island","MEM",17,23,14,0,244,32,77,0.416,9,23,0.391,23,54,0.426,0.474,7,14,0.5,3,28,31,22,13,3,15,25,80,20,89588
"Zach Randolph",50,"PF",205.74,260,1981-07-16,"us","14","Michigan State University","MEM",2,34,68,53,2016,431,907,0.475,6,26,0.231,425,881,0.482,0.479,172,216,0.796,179,350,529,142,43,13,105,146,1040,2,9638555
