"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Amar'e Stoudemire",5,"C",208.28,245,1982-11-16,"us","13",NA,"MIA",11,33,52,36,762,125,221,0.566,0,0,NA,125,221,0.566,0.566,50,67,0.746,65,157,222,27,18,41,47,92,300,9,1499187
"Beno Udrih",19,"PG",190.5,205,1982-07-05,"si","11",NA,"MIA",13,33,36,5,587,66,152,0.434,11,33,0.333,55,119,0.462,0.47,15,17,0.882,6,57,63,90,11,0,42,40,158,8,2170465
"Briante Weber",12,"PG",187.96,165,1992-12-29,"us","R","Virginia Commonwealth University","MIA",19,23,1,0,3,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,1,0,0,0,1,2,16,12355
"Chris Bosh",1,"PF",210.82,235,1984-03-24,"us","12","Georgia Institute of Technology","MIA",6,31,53,53,1778,358,767,0.467,81,222,0.365,277,545,0.508,0.52,213,268,0.795,48,342,390,128,36,34,78,101,1010,1,22192730
"Dwyane Wade",3,"SG",193.04,220,1982-01-17,"us","12","Marquette University","MIA",3,34,74,73,2258,540,1183,0.456,7,44,0.159,533,1139,0.468,0.459,322,406,0.793,82,220,302,344,79,42,203,116,1409,2,2e+07
"Gerald Green",14,"SG",200.66,205,1986-01-26,"us","8",NA,"MIA",7,30,69,14,1557,230,587,0.392,84,260,0.323,146,327,0.446,0.463,72,92,0.783,25,138,163,56,38,19,46,123,616,10,1356000
"Goran Dragic",7,"PG",190.5,190,1986-05-06,"si","7",NA,"MIA",2,29,72,72,2363,417,875,0.477,64,205,0.312,353,670,0.527,0.513,120,165,0.727,54,223,277,419,71,17,185,188,1018,3,14780000
"Hassan Whiteside",21,"C",213.36,265,1989-06-13,"us","3","Marshall University","MIA",5,26,73,43,2125,413,682,0.606,0,0,NA,413,682,0.606,0.606,214,329,0.65,238,627,865,30,44,269,137,201,1040,11,981348
"Joe Johnson",2,"SF",200.66,240,1981-06-29,"us","14","University of Arkansas","MIA",10,34,24,24,769,130,251,0.518,35,84,0.417,95,167,0.569,0.588,26,34,0.765,15,53,68,86,21,2,43,46,321,14,414481
"Josh McRoberts",4,"PF",208.28,240,1987-02-28,"us","8","Duke University","MIA",12,28,42,1,595,55,148,0.372,12,49,0.245,43,99,0.434,0.412,28,40,0.7,22,83,105,81,18,7,30,68,150,5,5543725
"Josh Richardson",0,"SG",198.12,200,1993-09-15,"us","R","University of Tennessee","MIA",8,22,52,2,1107,123,272,0.452,53,115,0.461,70,157,0.446,0.55,42,63,0.667,21,86,107,73,36,25,35,107,341,13,525093
"Justise Winslow",20,"SF",200.66,225,1996-03-26,"us","R","Duke University","MIA",4,19,78,8,2232,195,462,0.422,32,116,0.276,163,346,0.471,0.457,80,117,0.684,81,322,403,117,68,26,95,184,502,7,2481720
"Luol Deng",9,"PF",205.74,220,1985-04-16,"ss","11","Duke University","MIA",1,30,74,73,2394,339,745,0.455,88,256,0.344,251,489,0.513,0.514,145,192,0.755,108,335,443,140,74,29,81,122,911,4,10151612
"Tyler Johnson",8,"SG",193.04,186,1992-05-07,"us","1","California State University, Fresno","MIA",9,23,36,5,863,118,243,0.486,27,71,0.38,91,172,0.529,0.541,51,64,0.797,28,81,109,79,24,14,47,66,314,12,845059
"Udonis Haslem",40,"PF",203.2,235,1980-06-09,"us","12","University of Florida","MIA",14,35,37,0,260,23,61,0.377,1,9,0.111,22,52,0.423,0.385,12,16,0.75,10,65,75,14,5,2,5,25,59,6,2854940
