"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Damien Inglis",17,"SF",203.2,246,1995-05-20,"gf","R",NA,"MIL",15,20,20,1,156,13,37,0.351,3,13,0.231,10,24,0.417,0.392,7,8,0.875,2,29,31,10,6,3,11,11,36,14,855000
"Giannis Antetokounmpo",34,"PG",210.82,222,1994-12-06,"gr","2",NA,"MIL",2,21,80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,10,1953960
"Greg Monroe",15,"C",210.82,265,1990-06-04,"us","5","Georgetown University","MIL",4,25,79,67,2314,491,941,0.522,0,1,0,491,940,0.522,0.522,228,308,0.74,218,478,696,178,72,67,129,163,1210,1,16400000
"Greivis Vasquez",21,"PG",198.12,217,1987-01-16,"ve","5","University of Maryland","MIL",13,29,23,0,460,45,138,0.326,18,73,0.247,27,65,0.415,0.391,22,26,0.846,5,42,47,91,10,0,40,42,130,4,6600000
"Jabari Parker",12,"PF",203.2,250,1995-03-15,"us","1","Duke University","MIL",3,20,76,72,2408,443,899,0.493,9,35,0.257,434,864,0.502,0.498,175,228,0.768,123,272,395,130,69,29,116,154,1070,5,5152440
"Jared Cunningham",9,"SG",193.04,195,1991-05-22,"us","3","Oregon State University","MIL",16,24,4,0,55,4,14,0.286,2,7,0.286,2,7,0.286,0.357,6,7,0.857,0,9,9,1,2,0,3,4,16,17,57726
"Jerryd Bayless",19,"SG",190.5,200,1988-08-20,"us","7","University of Arizona","MIL",6,27,52,18,1505,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541,6,3e+06
"John Henson",31,"C",210.82,229,1990-12-28,"us","3","University of North Carolina","MIL",9,25,57,1,960,164,291,0.564,0,1,0,164,290,0.566,0.564,69,117,0.59,87,134,221,54,18,109,64,131,397,7,2943221
"Johnny O'Bryant",77,"PF",205.74,257,1993-06-01,"us","1","Louisiana State University","MIL",11,22,66,4,857,86,209,0.411,1,1,1,85,208,0.409,0.414,27,40,0.675,65,111,176,32,18,8,31,100,200,15,845059
"Khris Middleton",22,"SG",203.2,234,1991-08-12,"us","3","Texas A&M University","MIL",1,24,79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434,2,1.5e+07
"Michael Carter-Williams",5,"PG",198.12,190,1991-10-10,"us","2","Syracuse University","MIL",5,24,54,37,1649,251,555,0.452,15,55,0.273,236,500,0.472,0.466,106,162,0.654,48,228,276,281,80,41,153,162,623,8,2399040
"Miles Plumlee",18,"C",210.82,249,1988-09-01,"us","3","Duke University","MIL",10,27,61,14,870,140,233,0.601,0,0,NA,140,233,0.601,0.601,34,59,0.576,94,138,232,16,21,50,40,73,314,9,2109294
"O.J. Mayo",3,"SG",195.58,210,1987-11-05,"us","7","University of Southern California","MIL",7,28,41,24,1090,119,321,0.371,52,162,0.321,67,159,0.421,0.452,31,40,0.775,13,92,105,118,48,8,72,126,321,3,8e+06
"Rashad Vaughn",20,"SG",198.12,202,1996-08-16,"us","R","University of Nevada, Las Vegas","MIL",8,19,70,6,1001,81,266,0.305,43,147,0.293,38,119,0.319,0.385,12,15,0.8,11,77,88,39,29,16,28,73,217,12,1733040
"Steve Novak",6,"PF",208.28,225,1983-06-13,"us","9","Marquette University","MIL",17,32,3,0,20,2,6,0.333,2,6,0.333,0,0,NA,0.5,1,1,1,0,1,1,0,0,0,0,2,7,16,416886
"Tyler Ennis",11,"PG",190.5,194,1994-08-24,"ca","1","Syracuse University","MIL",12,21,46,7,654,84,187,0.449,13,39,0.333,71,148,0.48,0.484,25,34,0.735,13,62,75,95,25,1,46,64,206,13,1662360
