"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Alexis Ajinca",42,"C",218.44,248,1988-05-06,"fr","5",NA,"NOP",10,27,59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,7,4300000
"Alonzo Gee",15,"SF",198.12,225,1987-05-29,"us","6","University of Alabama","NOP",5,28,73,38,1632,132,255,0.518,17,60,0.283,115,195,0.59,0.551,44,66,0.667,60,185,245,72,63,13,55,169,325,12,1375000
"Anthony Davis",23,"PF",208.28,253,1993-03-11,"us","3","University of Kentucky","NOP",1,22,61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,6,7070730
"Bryce Dejean-Jones",31,"SG",198.12,209,1992-08-21,"us","R","Iowa State University","NOP",18,23,14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79,16,281659
"Dante Cunningham",44,"SF",203.2,230,1987-04-22,"us","6","Villanova University","NOP",3,28,80,46,1971,186,412,0.451,55,174,0.316,131,238,0.55,0.518,57,82,0.695,57,179,236,77,42,33,41,173,484,10,3e+06
"Eric Gordon",10,"SG",193.04,215,1988-12-25,"us","7","Indiana University","NOP",6,27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,1,15514031
"James Ennis",4,"SF",200.66,210,1990-07-01,"us","1","California State University, Long Beach","NOP",17,25,9,5,282,50,100,0.5,24,50,0.48,26,50,0.52,0.62,19,24,0.792,17,18,35,18,12,3,17,26,143,19,74564
"Jimmer Fredette",32,"SG",187.96,195,1989-02-25,"us","4","Brigham Young University","NOP",21,26,4,0,13,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,0,0,0,1,1,0,1,1,2,21,54812
"Jordan Hamilton",25,"SF",200.66,220,1990-10-06,"us","4","University of Texas at Austin","NOP",16,25,11,4,304,49,116,0.422,13,45,0.289,36,71,0.507,0.478,14,21,0.667,12,50,62,25,8,3,17,24,125,18,119462
"Jrue Holiday",11,"PG",193.04,205,1990-06-12,"us","6","University of California, Los Angeles","NOP",4,25,65,23,1831,410,935,0.439,87,259,0.336,323,676,0.478,0.485,182,216,0.843,27,168,195,391,88,22,167,148,1089,4,10595507
"Kendrick Perkins",5,"C",208.28,270,1984-11-10,"us","12",NA,"NOP",14,31,37,5,542,40,75,0.533,0,0,NA,40,75,0.533,0.533,11,25,0.44,25,103,128,31,11,11,41,64,91,11,1499200
"Luke Babbitt",8,"SF",205.74,225,1989-06-20,"us","5","University of Nevada, Reno","NOP",11,26,47,13,845,122,289,0.422,44,109,0.404,78,180,0.433,0.498,39,50,0.78,25,123,148,53,11,7,23,90,327,14,1100000
"Nate Robinson",2,"PG",175.26,180,1984-05-31,"us","10","University of Washington","NOP",20,31,2,1,23,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,4,1,0,0,5,0,22,44000
"Norris Cole",30,"PG",187.96,175,1988-10-13,"us","4","Cleveland State University","NOP",8,27,45,23,1198,196,484,0.405,33,102,0.324,163,382,0.427,0.439,52,65,0.8,10,141,151,167,37,5,75,102,477,9,3036927
"Omer Asik",3,"C",213.36,255,1986-07-04,"tr","5",NA,"NOP",9,29,68,64,1178,104,195,0.533,0,0,NA,104,195,0.533,0.533,61,112,0.545,120,294,414,26,21,23,60,124,269,3,1.1e+07
"Orlando Johnson",0,"SG",195.58,220,1989-03-11,"us","2","University of California, Santa Barbara","NOP",19,26,5,1,54,4,17,0.235,1,5,0.2,3,12,0.25,0.265,1,2,0.5,1,5,6,2,1,0,3,4,10,20,55722
"Ryan Anderson",33,"PF",208.28,240,1988-05-06,"us","7","University of California","NOP",2,27,66,7,2008,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124,5,8500000
"Tim Frazier",2,"PG",185.42,170,1990-11-01,"us","1","Pennsylvania State University","NOP",15,25,16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210,17,144157
"Toney Douglas",16,"PG",187.96,195,1986-03-16,"us","6","Florida State University","NOP",7,29,61,18,1262,183,445,0.411,81,203,0.399,102,242,0.421,0.502,84,99,0.848,25,118,143,157,70,5,64,131,531,13,1164858
"Tyreke Evans",1,"SG",198.12,220,1989-09-19,"us","6","University of Memphis","NOP",12,26,25,25,765,136,314,0.433,33,85,0.388,103,229,0.45,0.486,74,93,0.796,20,109,129,164,32,8,73,66,379,2,11227000
