"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Aaron Gordon","00","PF",205.74,220,1995-09-16,"us","1","University of Arizona","ORL",5,20,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,7,4171680
"Andrew Nicholson","44","PF",205.74,250,1989-12-08,"ca","3","St. Bonaventure University","ORL",9,26,56,0,823,146,310,0.471,41,114,0.36,105,196,0.536,0.537,51,65,0.785,34,167,201,25,10,22,41,69,384,10,2380594
"Brandon Jennings","55","PG",185.42,170,1989-09-23,"us","6",NA,"ORL",14,26,25,6,452,59,161,0.366,27,78,0.346,32,83,0.386,0.45,30,40,0.75,11,39,50,100,18,5,35,33,175,2,8344497
"C.J. Watson","32","PG",187.96,175,1984-04-17,"us","8","University of Tennessee","ORL",12,31,33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142,5,5e+06
"Devyn Marble","11","SG",198.12,200,1992-09-21,"us","1","University of Iowa","ORL",16,23,28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60,16,845059
"Dewayne Dedmon","3","C",213.36,245,1989-08-12,"us","2","University of Southern California","ORL",11,26,58,20,705,99,177,0.559,0,0,NA,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255,15,947278
"Elfrid Payton","4","PG",193.04,185,1994-02-22,"us","1","University of Louisiana at Lafayette","ORL",3,21,73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778,9,2505720
"Ersan Ilyasova","7","PF",208.28,235,1987-05-15,"tr","7",NA,"ORL",15,28,22,4,447,64,153,0.418,18,44,0.409,46,109,0.422,0.477,32,45,0.711,45,76,121,12,14,6,12,51,178,3,7900000
"Evan Fournier","10","SF",200.66,205,1992-10-29,"fr","3",NA,"ORL",1,23,79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213,11,2288205
"Jason Smith","14","C",213.36,245,1986-03-02,"us","7","Colorado State University","ORL",8,29,76,2,1181,244,503,0.485,4,16,0.25,240,487,0.493,0.489,54,67,0.806,53,166,219,62,33,65,57,163,546,6,4300000
"Keith Appling","15","PG",185.42,185,1992-02-13,"us","R","Michigan State University","ORL",17,23,5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6,18,161776
"Mario Hezonja","23","SF",203.2,215,1995-02-25,"hr","R",NA,"ORL",7,20,79,9,1413,181,418,0.433,67,192,0.349,114,226,0.504,0.513,49,54,0.907,28,148,176,109,39,17,97,124,478,8,3741480
"Nikola Vucevic","9","C",213.36,260,1990-10-24,"ch","4","University of Southern California","ORL",4,25,65,60,2037,533,1046,0.51,2,9,0.222,531,1037,0.512,0.511,113,150,0.753,174,402,576,179,53,70,123,173,1181,1,11250000
"Shabazz Napier","13","PG",185.42,175,1991-07-14,"us","1","University of Connecticut","ORL",13,24,55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203,12,1294440
"Victor Oladipo","5","SG",193.04,210,1992-05-04,"us","2","Indiana University","ORL",2,23,72,52,2379,425,970,0.438,98,282,0.348,327,688,0.475,0.489,205,247,0.83,48,297,345,282,116,54,153,174,1153,4,5192520
