"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Carl Landry",7,"PF",205.74,248,1983-09-19,"us","8","Purdue University","PHI",12,32,36,12,569,139,250,0.556,6,13,0.462,133,237,0.561,0.568,67,91,0.736,49,97,146,32,12,9,22,69,351,3,6500000
"Christian Wood",35,"PF",210.82,220,1995-09-27,"us","R","University of Nevada, Las Vegas","PHI",16,20,17,0,145,22,53,0.415,4,11,0.364,18,42,0.429,0.453,13,21,0.619,13,25,38,3,5,7,2,11,61,22,305789
"Elton Brand",42,"C",203.2,275,1979-03-11,"us","16","Duke University","PHI",14,36,17,1,225,31,72,0.431,0,1,0,31,71,0.437,0.431,8,9,0.889,9,54,63,18,9,8,11,32,70,17,890693
"Hollis Thompson",31,"SG",203.2,206,1991-04-03,"us","2","Georgetown University","PHI",1,24,77,17,2154,270,680,0.397,149,392,0.38,121,288,0.42,0.507,69,96,0.719,54,218,272,99,36,24,76,187,758,16,947276
"Isaiah Canaan",0,"SG",182.88,201,1991-05-21,"us","2","Murray State University","PHI",3,24,77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846,15,947276
"Ish Smith",1,"PG",182.88,175,1988-07-05,"us","5","Wake Forest University","PHI",7,27,50,50,1622,299,739,0.405,46,137,0.336,253,602,0.42,0.436,89,133,0.669,29,184,213,348,64,18,130,95,733,12,1100602
"Jahlil Okafor",8,"C",210.82,275,1995-12-15,"us","R","Duke University","PHI",9,20,53,48,1591,397,781,0.508,1,6,0.167,396,775,0.511,0.509,133,194,0.686,122,251,373,65,22,61,124,140,928,5,4582680
"JaKarr Sampson",9,"SF",205.74,214,1993-03-20,"us","1","St. John's University","PHI",11,22,47,18,691,86,202,0.426,6,34,0.176,80,168,0.476,0.441,62,97,0.639,30,99,129,30,11,16,51,91,240,18,845059
"Jerami Grant",39,"SF",203.2,210,1994-03-12,"us","1","Syracuse University","PHI",2,21,77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,19,845059
"Kendall Marshall",5,"PG",193.04,200,1991-08-19,"us","3","University of North Carolina","PHI",13,24,30,6,400,43,118,0.364,16,49,0.327,27,69,0.391,0.432,9,13,0.692,2,26,28,73,16,2,43,30,111,11,2144722
"Nerlens Noel",4,"C",210.82,228,1994-04-10,"us","1","University of Kentucky","PHI",4,21,67,62,1965,306,587,0.521,1,2,0.5,305,585,0.521,0.522,134,227,0.59,154,388,542,122,118,100,158,192,747,6,3457800
"Nik Stauskas",11,"SG",198.12,205,1993-10-07,"ca","1","University of Michigan","PHI",6,22,73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617,8,2869440
"Phil Pressey",26,"PG",180.34,175,1991-02-17,"us","2","University of Missouri","PHI",15,24,14,0,170,21,55,0.382,4,13,0.308,17,42,0.405,0.418,9,18,0.5,0,23,23,46,11,1,19,14,55,23,172739
"Richaun Holmes",22,"PF",208.28,245,1993-10-15,"us","R","Bowling Green State University","PHI",10,22,51,1,702,114,222,0.514,8,44,0.182,106,178,0.596,0.532,51,74,0.689,62,73,135,33,19,40,32,92,287,13,1050000
"Robert Covington",33,"SF",205.74,215,1990-12-14,"us","2","Tennessee State University","PHI",5,25,67,49,1903,274,712,0.385,170,482,0.353,104,230,0.452,0.504,140,177,0.791,65,354,419,97,105,40,143,232,858,14,1e+06
"Sonny Weems",9,"SF",198.12,205,1986-07-08,"us","3","University of Arkansas","PHI",18,29,7,0,78,7,21,0.333,2,9,0.222,5,12,0.417,0.381,1,2,0.5,1,11,12,2,0,0,4,7,17,9,2800000
"T.J. McConnell",12,"PG",187.96,200,1992-03-25,"us","R","University of Arizona","PHI",8,23,81,17,1606,218,464,0.47,31,89,0.348,187,375,0.499,0.503,26,41,0.634,43,207,250,367,95,10,140,114,493,21,525093
"Tony Wroten",1,"PG",198.12,205,1993-04-13,"us","3","University of Washington","PHI",17,22,8,3,144,22,65,0.338,3,17,0.176,19,48,0.396,0.362,20,37,0.541,2,19,21,20,3,0,29,11,67,10,2179354
