"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Alan Williams",15,"PF",203.2,260,1993-01-28,"us","R","University of California, Santa Barbara","PHO",19,23,10,0,68,10,24,0.417,0,0,NA,10,24,0.417,0.417,9,14,0.643,14,24,38,5,4,5,6,15,29,18,114285
"Alex Len",21,"C",215.9,260,1993-06-16,"ua","2","University of Maryland","PHO",4,22,78,46,1821,264,624,0.423,1,7,0.143,263,617,0.426,0.424,174,239,0.728,178,416,594,97,38,62,145,230,703,7,3807120
"Archie Goodwin",20,"PG",195.58,200,1994-08-17,"us","2","University of Kentucky","PHO",9,21,57,13,1114,176,422,0.417,23,99,0.232,153,323,0.474,0.444,130,193,0.674,27,115,142,118,27,13,100,84,505,12,1160160
"Brandon Knight",3,"SG",190.5,189,1991-12-02,"us","4","University of Kentucky","PHO",3,24,52,50,1870,371,895,0.415,120,351,0.342,251,544,0.461,0.482,156,183,0.852,36,166,202,263,61,20,177,124,1018,3,1.2e+07
"Bryce Cotton",8,"PG",185.42,165,1992-08-11,"us","1","Providence College","PHO",23,23,3,0,33,2,8,0.25,0,3,0,2,5,0.4,0.25,0,0,NA,0,0,0,3,3,0,5,2,4,17,228663
"Chase Budinger",10,"SF",200.66,209,1988-05-22,"us","6","University of Arizona","PHO",15,27,17,0,200,23,45,0.511,4,17,0.235,19,28,0.679,0.556,5,8,0.625,12,17,29,15,3,1,13,16,55,16,258082
"Cory Jefferson",55,"PF",205.74,218,1990-12-26,"us","1","Baylor University","PHO",21,25,8,0,50,9,22,0.409,0,1,0,9,21,0.429,0.409,4,6,0.667,6,10,16,0,0,1,0,8,22,15,421449
"Devin Booker",1,"SG",198.12,206,1996-10-30,"us","R","University of Kentucky","PHO",2,19,76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,8,2127840
"Eric Bledsoe",2,"PG",185.42,190,1989-12-09,"us","5","University of Kentucky","PHO",11,26,31,31,1059,223,492,0.453,48,129,0.372,175,363,0.482,0.502,138,172,0.802,18,107,125,190,63,19,110,75,632,1,13086957
"John Jenkins",23,"SG",193.04,215,1991-03-06,"us","3","Vanderbilt University","PHO",14,24,22,2,287,42,90,0.467,13,32,0.406,29,58,0.5,0.539,12,15,0.8,4,31,35,26,5,1,16,11,109,14,981000
"Jon Leuer",30,"PF",208.28,228,1989-05-14,"us","4","University of Wisconsin","PHO",7,26,67,27,1255,224,466,0.481,42,110,0.382,182,356,0.511,0.526,77,101,0.762,76,297,373,72,38,30,75,125,567,13,1035000
"Jordan McRae",52,"PG",198.12,185,1991-03-28,"us","R","University of Tennessee","PHO",17,24,7,0,82,11,26,0.423,3,11,0.273,8,15,0.533,0.481,12,15,0.8,2,6,8,10,3,0,6,7,37,21,61776
"Kris Humphries",43,"PF",205.74,235,1985-02-06,"us","11","University of Minnesota","PHO",18,30,4,3,74,10,36,0.278,3,10,0.3,7,26,0.269,0.319,6,8,0.75,11,21,32,7,3,2,4,8,29,6,4600000
"Lorenzo Brown",41,"PG",195.58,189,1990-08-26,"us","2","North Carolina State University","PHO",20,25,8,0,61,8,25,0.32,1,8,0.125,7,17,0.412,0.34,3,4,0.75,0,7,7,11,3,1,9,4,20,20,111444
"Mirza Teletovic",35,"PF",205.74,242,1985-09-18,"ba","3",NA,"PHO",5,30,79,1,1686,332,777,0.427,181,460,0.393,151,317,0.476,0.544,120,155,0.774,55,247,302,89,32,21,84,159,965,4,5500000
"Orlando Johnson",0,"SG",195.58,220,1989-03-11,"us","2","University of California, Santa Barbara","PHO",22,26,2,0,47,5,17,0.294,1,5,0.2,4,12,0.333,0.324,5,6,0.833,3,6,9,0,2,3,1,5,16,22,55722
"P.J. Tucker",17,"SF",198.12,245,1985-05-05,"us","4","University of Texas at Austin","PHO",1,30,82,80,2540,239,582,0.411,68,206,0.33,171,376,0.455,0.469,106,142,0.746,165,347,512,177,106,20,111,202,652,5,5500000
"Phil Pressey",25,"PG",180.34,175,1991-02-17,"us","2","University of Missouri","PHO",16,24,9,0,113,9,23,0.391,0,5,0,9,18,0.5,0.391,4,7,0.571,3,5,8,29,7,3,14,14,22,19,111444
"Ronnie Price",14,"PG",187.96,190,1983-06-21,"us","10","Utah Valley State College","PHO",8,32,62,18,1211,116,302,0.384,68,196,0.347,48,106,0.453,0.497,31,41,0.756,25,74,99,147,74,13,70,161,331,11,1499187
"T.J. Warren",12,"SF",203.2,230,1993-09-05,"us","1","North Carolina State University","PHO",10,22,47,4,1070,221,441,0.501,28,70,0.4,193,371,0.52,0.533,45,64,0.703,57,90,147,44,37,16,32,94,515,9,2041080
"Tyson Chandler",4,"C",215.9,240,1982-10-02,"us","14",NA,"PHO",6,33,66,60,1618,183,314,0.583,0,1,0,183,313,0.585,0.583,106,171,0.62,175,401,576,64,36,44,93,145,472,2,1.3e+07
