"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Al-Farouq Aminu",8,"SF",205.74,220,1990-09-21,"us","5","Wake Forest University","POR",3,25,82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839,2,7500000
"Allen Crabbe",23,"SG",198.12,210,1992-04-09,"us","2","University of California","POR",4,23,81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832,14,947276
"Brian Roberts",2,"PG",185.42,173,1985-12-03,"us","3","University of Dayton","POR",13,30,21,0,137,23,50,0.46,6,15,0.4,17,35,0.486,0.52,8,10,0.8,2,10,12,16,3,1,7,12,60,9,2854940
"C.J. McCollum",3,"SG",193.04,200,1991-09-19,"us","2","Lehigh University","POR",1,24,80,80,2780,641,1431,0.448,197,472,0.417,444,959,0.463,0.517,187,226,0.827,47,212,259,341,97,23,196,187,1666,12,2525160
"Chris Kaman",35,"C",213.36,265,1982-04-28,"us","12","Central Michigan University","POR",14,33,16,2,112,20,43,0.465,1,4,0.25,19,39,0.487,0.477,3,3,1,7,17,24,11,1,1,8,15,44,5,5e+06
"Cliff Alexander",34,"PF",203.2,245,1995-11-16,"us","R","University of Kansas","POR",16,20,8,0,36,5,10,0.5,0,0,NA,5,10,0.5,0.5,0,0,NA,2,4,6,0,1,2,1,1,10,18,525093
"Damian Lillard",0,"PG",190.5,195,1990-07-15,"us","3","Weber State University","POR",2,25,75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45,0.497,414,464,0.892,45,257,302,512,65,28,242,165,1879,6,4236287
"Ed Davis",17,"PF",208.28,240,1989-06-05,"us","5","University of North Carolina","POR",6,26,81,0,1684,206,337,0.611,0,0,NA,206,337,0.611,0.611,114,204,0.559,224,375,599,88,57,72,64,202,526,3,7e+06
"Gerald Henderson",9,"SG",195.58,215,1987-12-09,"us","6","Duke University","POR",8,28,72,0,1431,232,529,0.439,48,136,0.353,184,393,0.468,0.484,112,146,0.767,30,181,211,75,39,19,68,87,624,4,6e+06
"Luis Montero",44,"SG",200.66,185,1993-04-06,"do","R","Westchester CC","POR",15,22,12,0,42,5,19,0.263,1,9,0.111,4,10,0.4,0.289,3,4,0.75,0,4,4,1,0,0,4,1,14,16,525093
"Mason Plumlee",24,"C",210.82,245,1990-03-05,"us","2","Duke University","POR",5,25,82,82,2084,267,517,0.516,0,4,0,267,513,0.52,0.516,215,335,0.642,201,427,628,226,68,85,154,253,749,13,1415520
"Maurice Harkless",4,"SF",205.74,215,1993-05-11,"us","3","St. John's University","POR",7,22,78,14,1457,195,411,0.474,39,140,0.279,156,271,0.576,0.522,69,111,0.622,101,179,280,67,49,35,62,124,498,8,2894059
"Meyers Leonard",11,"PF",215.9,245,1992-02-27,"us","3","University of Illinois at Urbana-Champaign","POR",9,23,61,10,1333,195,435,0.448,86,228,0.377,109,207,0.527,0.547,35,46,0.761,51,263,314,92,8,18,77,183,511,7,3075880
"Noah Vonleh",21,"PF",208.28,240,1995-08-24,"us","1","Indiana University","POR",10,20,78,56,1174,117,278,0.421,11,46,0.239,106,232,0.457,0.441,38,51,0.745,91,214,305,30,27,26,50,152,283,11,2637720
"Pat Connaughton",5,"SG",195.58,206,1993-01-06,"us","R","University of Notre Dame","POR",12,23,34,0,143,13,49,0.265,5,21,0.238,8,28,0.286,0.316,5,5,1,11,21,32,10,2,0,10,6,36,17,525093
"Tim Frazier",10,"PG",185.42,170,1990-11-01,"us","1","Pennsylvania State University","POR",11,25,35,1,272,20,60,0.333,3,17,0.176,17,43,0.395,0.358,8,15,0.533,11,28,39,42,10,1,27,31,51,15,845059
