"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Ben McLemore","23","SG",195.58,195,1993-02-11,"us","2","University of Kansas","SAC",8,22,68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531,8,3156600
"Caron Butler","31","SF",200.66,228,1980-03-13,"us","13","University of Connecticut","SAC",13,35,17,1,176,25,59,0.424,3,18,0.167,22,41,0.537,0.449,10,12,0.833,5,17,22,10,9,1,3,19,63,10,1499187
"Darren Collison","7","PG",182.88,175,1987-08-23,"us","6","University of California, Los Angeles","SAC",4,28,74,15,2219,377,776,0.486,87,217,0.401,290,559,0.519,0.542,194,226,0.858,28,141,169,318,76,4,130,142,1035,6,5013559
"DeMarcus Cousins","15","C",210.82,270,1990-08-13,"us","5","University of Kentucky","SAC",3,25,65,65,2246,601,1332,0.451,70,210,0.333,531,1122,0.473,0.477,476,663,0.718,158,589,747,214,101,92,249,236,1748,1,14728844
"Duje Dukan","26","SF",205.74,220,1991-12-04,"hr","R","University of Wisconsin","SAC",15,24,1,0,24,2,10,0.2,2,5,0.4,0,5,0,0.3,0,0,NA,2,2,4,1,1,0,0,2,6,16,525093
"Eric Moreland","25","PF",208.28,238,1991-12-24,"us","1","Oregon State University","SAC",14,24,8,0,48,3,6,0.5,0,0,NA,3,6,0.5,0.5,2,4,0.5,3,8,11,1,0,4,3,4,8,15,845059
"James Anderson","5","SG",198.12,213,1989-03-25,"us","4","Oklahoma State University","SAC",11,26,51,15,721,67,178,0.376,23,86,0.267,44,92,0.478,0.441,22,29,0.759,13,73,86,41,21,14,42,54,179,11,1015421
"Kosta Koufos","41","C",213.36,265,1989-02-24,"us","7","Ohio State University","SAC",7,26,78,14,1482,236,444,0.532,0,0,NA,236,444,0.532,0.532,57,104,0.548,169,254,423,33,40,70,48,185,529,4,7500000
"Marco Belinelli","3","SG",195.58,210,1986-03-25,"it","8",NA,"SAC",6,29,68,7,1672,245,635,0.386,91,297,0.306,154,338,0.456,0.457,115,138,0.833,10,107,117,127,37,2,80,91,696,5,6333333
"Omri Casspi","18","SF",205.74,225,1988-06-22,"il","6",NA,"SAC",5,27,69,21,1880,299,622,0.481,112,274,0.409,187,348,0.537,0.571,103,159,0.648,58,352,410,95,56,17,94,154,813,9,3e+06
"Quincy Acy","13","PF",200.66,240,1990-10-06,"us","3","Baylor University","SAC",10,25,59,29,876,119,214,0.556,19,49,0.388,100,165,0.606,0.6,50,68,0.735,65,123,188,27,29,24,27,103,307,12,981348
"Rajon Rondo","9","PG",185.42,186,1986-02-22,"us","9","University of Kentucky","SAC",1,29,72,72,2537,355,782,0.454,62,170,0.365,293,612,0.479,0.494,87,150,0.58,77,358,435,839,141,10,278,175,859,3,9500000
"Rudy Gay","8","SF",203.2,230,1986-08-17,"us","9","University of Connecticut","SAC",2,29,70,70,2379,466,1007,0.463,74,215,0.344,392,792,0.495,0.5,198,254,0.78,103,353,456,120,100,51,139,184,1204,2,12403101
"Seth Curry","30","PG",187.96,185,1990-08-23,"us","2","Duke University","SAC",12,25,44,9,692,102,224,0.455,50,111,0.45,52,113,0.46,0.567,45,54,0.833,9,51,60,67,22,3,36,41,299,13,947276
"Willie Cauley-Stein","00","C",213.36,240,1993-08-18,"us","R","University of Kentucky","SAC",9,22,66,39,1412,191,339,0.563,0,2,0,191,337,0.567,0.563,81,125,0.648,134,218,352,37,48,66,46,146,463,7,3398280
