"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Andre Miller",24,"PG",190.5,200,1976-03-19,"us","16","University of Utah","SAS",17,39,13,4,181,23,48,0.479,1,4,0.25,22,44,0.5,0.49,9,13,0.692,6,21,27,29,7,0,12,14,56,17,396844
"Boban Marjanovic",40,"C",220.98,290,1988-08-15,"rs","R",NA,"SAS",12,27,54,4,508,105,174,0.603,0,0,NA,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297,12,1200000
"Boris Diaw",33,"PF",203.2,250,1982-04-16,"fr","12",NA,"SAS",8,33,76,4,1386,202,383,0.527,25,69,0.362,177,314,0.564,0.56,56,76,0.737,58,175,233,176,26,21,97,102,485,5,7e+06
"Danny Green",14,"SG",198.12,215,1987-06-22,"us","6","University of North Carolina","SAS",3,28,79,79,2062,211,561,0.376,116,349,0.332,95,212,0.448,0.48,34,46,0.739,48,255,303,141,79,64,75,141,572,4,1e+07
"David West",30,"PF",205.74,250,1980-08-29,"us","12","Xavier University","SAS",7,35,78,19,1404,244,448,0.545,3,7,0.429,241,441,0.546,0.548,63,80,0.788,72,237,309,143,44,55,68,142,554,11,1499000
"Jonathon Simmons",17,"SG",198.12,195,1989-09-14,"us","R","University of Houston","SAS",11,26,55,2,813,122,242,0.504,18,47,0.383,104,195,0.533,0.541,69,92,0.75,16,80,96,58,24,5,53,103,331,15,525093
"Kawhi Leonard",2,"SF",200.66,230,1991-06-29,"us","4","San Diego State University","SAS",1,24,72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523,2,16500000
"Kevin Martin",23,"SG",200.66,199,1983-02-01,"us","11","Western Carolina University","SAS",14,32,16,1,261,30,85,0.353,11,33,0.333,19,52,0.365,0.418,28,30,0.933,4,25,29,12,9,2,13,15,99,18,317475
"Kyle Anderson",1,"SF",205.74,230,1993-09-20,"us","1","University of California, Los Angeles","SAS",9,22,78,11,1245,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350,13,1142879
"LaMarcus Aldridge",12,"PF",210.82,260,1985-07-19,"us","9","University of Texas at Austin","SAS",2,30,74,74,2261,536,1045,0.513,0,16,0,536,1029,0.521,0.513,259,302,0.858,176,456,632,110,38,81,99,151,1331,1,19500000
"Manu Ginobili",20,"SG",198.12,205,1977-07-28,"ar","13",NA,"SAS",10,38,58,0,1134,197,435,0.453,70,179,0.391,127,256,0.496,0.533,91,112,0.813,26,120,146,177,66,11,99,99,555,8,2814000
"Matt Bonner",15,"C",208.28,235,1980-04-05,"us","11","University of Florida","SAS",16,35,30,2,206,29,57,0.509,15,34,0.441,14,23,0.609,0.64,3,4,0.75,3,24,27,9,6,1,3,16,76,9,1499187
"Patrick Mills",8,"PG",182.88,185,1988-08-11,"au","6","Saint Mary's College of California","SAS",5,27,81,3,1662,260,612,0.425,123,320,0.384,137,292,0.469,0.525,47,58,0.81,27,131,158,226,59,6,76,102,690,7,3578947
"Rasual Butler",18,"SF",200.66,215,1979-05-23,"us","12","La Salle University","SAS",13,36,46,0,432,49,104,0.471,15,49,0.306,34,55,0.618,0.543,11,16,0.688,3,53,56,24,13,23,8,11,124,10,1499187
"Ray McCallum",3,"PG",190.5,190,1991-06-12,"us","2","University of Detroit Mercy","SAS",15,24,31,3,256,27,67,0.403,5,16,0.313,22,51,0.431,0.44,9,10,0.9,6,25,31,33,5,4,11,14,68,14,947276
"Tim Duncan",21,"C",210.82,250,1976-04-25,"vi","18","Wake Forest University","SAS",6,39,61,60,1536,215,441,0.488,0,2,0,215,439,0.49,0.488,92,131,0.702,115,332,447,163,47,78,90,125,522,6,5e+06
"Tony Parker",9,"PG",187.96,185,1982-05-17,"be","14",NA,"SAS",4,33,72,72,1980,350,710,0.493,27,65,0.415,323,645,0.501,0.512,130,171,0.76,17,159,176,379,54,11,131,114,857,3,13437500
