"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Anthony Bennett",15,"PF",203.2,245,1993-03-14,"ca","2","University of Nevada, Las Vegas","TOR",15,22,19,0,84,8,27,0.296,3,14,0.214,5,13,0.385,0.352,9,10,0.9,6,17,23,0,5,0,4,8,28,14,947276
"Bismack Biyombo",8,"C",205.74,255,1992-08-28,"cd","4",NA,"TOR",5,23,82,22,1808,156,288,0.542,0,1,0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,8,3e+06
"Bruno Caboclo",20,"SF",205.74,218,1995-09-21,"br","1",NA,"TOR",16,20,6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,NA,1,1,2,1,2,1,4,2,3,12,1524000
"Cory Joseph",6,"SG",190.5,193,1991-08-20,"ca","4","University of Texas at Austin","TOR",3,24,80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677,4,7e+06
"Delon Wright",55,"PG",195.58,183,1992-04-26,"us","R","University of Utah","TOR",13,23,27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103,13,1509360
"DeMar DeRozan",10,"SG",200.66,221,1989-08-07,"us","6","University of Southern California","TOR",2,26,78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830,3,9500000
"DeMarre Carroll",5,"SF",203.2,215,1986-07-27,"us","6","University of Missouri","TOR",10,29,26,22,786,105,270,0.389,46,118,0.39,59,152,0.388,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286,1,13500000
"James Johnson",3,"PF",205.74,250,1987-02-20,"us","6","Wake Forest University","TOR",9,28,57,32,926,114,240,0.475,20,66,0.303,94,174,0.54,0.517,39,68,0.574,28,98,126,67,29,33,54,84,287,10,2500000
"Jason Thompson",1,"C",210.82,250,1986-07-21,"us","7","Rider University","TOR",12,29,19,6,292,32,66,0.485,5,15,0.333,27,51,0.529,0.523,18,22,0.818,22,58,80,10,8,12,8,40,87,16,328955
"Jonas Valanciunas",17,"C",213.36,265,1992-05-06,"lt","3",NA,"TOR",8,23,60,59,1557,303,536,0.565,0,0,NA,303,536,0.565,0.565,162,213,0.761,184,363,547,42,25,80,85,158,768,6,4660482
"Kyle Lowry",7,"PG",185.42,196,1986-03-25,"us","9","Villanova University","TOR",1,29,77,77,2851,512,1198,0.427,212,547,0.388,300,651,0.461,0.516,398,491,0.811,55,310,365,494,158,34,225,211,1634,2,1.2e+07
"Lucas Nogueira",92,"C",213.36,241,1992-07-26,"br","1",NA,"TOR",14,23,29,1,225,28,44,0.636,1,3,0.333,27,41,0.659,0.648,8,15,0.533,18,28,46,7,12,12,11,29,65,11,1842000
"Luis Scola",4,"PF",205.74,240,1980-04-30,"ar","8",NA,"TOR",7,35,76,76,1636,269,598,0.45,65,161,0.404,204,437,0.467,0.504,61,84,0.726,84,276,360,66,46,27,68,178,664,9,3e+06
"Norman Powell",24,"SG",193.04,215,1993-05-25,"us","R","University of California, Los Angeles","TOR",11,22,49,24,725,97,229,0.424,36,89,0.404,61,140,0.436,0.502,43,53,0.811,16,95,111,47,29,10,32,59,273,15,650000
"Patrick Patterson",54,"PF",205.74,230,1989-03-14,"us","5","University of Kentucky","TOR",4,26,79,0,2020,204,493,0.414,106,293,0.362,98,200,0.49,0.521,29,34,0.853,77,265,342,94,53,32,65,128,543,5,6268675
"Terrence Ross",31,"SF",200.66,206,1991-02-05,"us","3","University of Washington","TOR",6,24,73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720,7,3553917
