"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Alan Anderson",6,"SG",198.12,220,1982-10-16,"us","6","Michigan State University","WAS",16,33,13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,9,4e+06
"Bradley Beal",3,"SG",195.58,207,1993-06-28,"us","3","University of Florida","WAS",6,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,5,5694674
"Drew Gooden",90,"PF",208.28,250,1981-09-24,"us","13","University of Kansas","WAS",13,34,30,0,305,33,103,0.32,7,41,0.171,26,62,0.419,0.354,9,14,0.643,28,57,85,13,8,11,13,40,82,10,3300000
"Garrett Temple",17,"SF",198.12,195,1986-05-08,"us","5","Louisiana State University","WAS",5,29,80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582,14,1100602
"Gary Neal",14,"SG",193.04,210,1984-10-03,"us","5","Towson University","WAS",9,31,40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390,12,2100000
"J.J. Hickson",21,"C",205.74,242,1988-09-04,"us","7","North Carolina State University","WAS",18,27,15,0,131,25,46,0.543,0,1,0,25,45,0.556,0.543,19,44,0.432,17,28,45,7,5,2,9,12,69,16,366337
"Jared Dudley",1,"PF",200.66,225,1985-07-10,"us","8","Boston College","WAS",4,30,81,41,2098,233,487,0.478,100,238,0.42,133,249,0.534,0.581,72,98,0.735,54,232,286,170,75,18,80,190,638,8,4250000
"Jarell Eddie",8,"SF",200.66,218,1991-10-30,"us","R","Virginia Polytechnic Institute and State University","WAS",17,24,26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63,15,561716
"John Wall",2,"PG",193.04,195,1990-09-06,"us","5","University of Kentucky","WAS",1,25,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,1,15851950
"Kelly Oubre",12,"SF",200.66,205,1995-12-09,"us","R","University of Kansas","WAS",11,20,63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236,13,1920240
"Marcin Gortat",13,"C",210.82,240,1984-02-17,"pl","8",NA,"WAS",3,31,75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012,3,11217391
"Marcus Thornton",15,"SG",193.04,205,1987-06-05,"us","6","Louisiana State University","WAS",14,28,14,2,224,42,107,0.393,18,54,0.333,24,53,0.453,0.477,16,21,0.762,7,28,35,19,13,1,11,17,118,17,251107
"Markieff Morris",5,"PF",208.28,245,1989-09-02,"us","4","University of Kansas","WAS",10,26,27,21,712,134,287,0.467,25,79,0.316,109,208,0.524,0.51,42,55,0.764,30,128,158,37,25,17,45,80,335,4,8e+06
"Nene Hilario",42,"PF",210.82,250,1982-09-13,"br","13",NA,"WAS",8,33,57,11,1094,209,384,0.544,0,3,0,209,381,0.549,0.544,107,185,0.578,52,207,259,97,54,26,76,156,525,2,1.3e+07
"Otto Porter",22,"SF",203.2,198,1993-06-03,"us","2","Georgetown University","WAS",2,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,7,4662960
"Ramon Sessions",7,"PG",190.5,190,1986-04-11,"us","8","University of Nevada, Reno","WAS",7,29,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810,11,2170465
"Ryan Hollins",15,"C",213.36,240,1984-10-10,"us","9","University of California, Los Angeles","WAS",19,31,5,3,48,4,7,0.571,0,0,NA,4,7,0.571,0.571,0,0,NA,7,4,11,0,0,1,3,4,8,18,176375
