"height","ft_in","athlete"
2,"6 ft 6 3/4 in","George Horine"
2.022,"6 ft 7 5/8 in","Edward Beeson"
2.038,"6 ft 8 1/4 in","Harold Osborn"
2.04,"6 ft 8 3/8 in","Walter Marty"
2.06,"6 ft 9 1/8 in","Walter Marty"
2.07,"6 ft 9 1/2 in","Cornelius Johnson"
2.07,"6 ft 9 1/2 in","Dave Albritton"
2.09,"6 ft 10 1/4 in","Melvin Walker"
2.11,"6 ft 11 1/8 in","Lester Steers"
2.12,"6 ft 11 1/2 in","Walt Davis"
2.15,"7 ft 0 5/8 in","Charles Dumas"
2.16,"7 ft 1 in","Yuriy Stepanov"
2.17,"7 ft 1 3/8 in","John Thomas"
2.17,"7 ft 1 3/8 in","John Thomas"
2.18,"7 ft 1 7/8 in","John Thomas"
2.22,"7 ft 3 3/8 in","John Thomas"
2.23,"7 ft 3 3/4 in","Valeriy Brumel"
2.24,"7 ft 4 1/4 in","Valeriy Brumel"
2.25,"7 ft 4 5/8 in","Valeriy Brumel"
2.26,"7 ft 5 in","Valeriy Brumel"
2.27,"7 ft 5 3/8 in","Valeriy Brumel"
2.28,"7 ft 5 3/4 in","Valeriy Brumel"
2.29,"7 ft 6 1/8 in","Pat Matzdorf"
2.3,"7 ft 6 1/2 in","Dwight Stones"
2.31,"7 ft 7 in","Dwight Stones"
2.32,"7 ft 7 3/8 in","Dwight Stones"
2.33,"7 ft 7 3/4 in","Vladimir Yashchenko"
2.34,"7 ft 8 1/8 in","Vladimir Yashchenko"
2.35,"7 ft 8 1/2 in","Jacek Wszoła"
2.35,"7 ft 8 1/2 in","Dietmar Mögenburg"
2.36,"7 ft 8 7/8 in","Gerd Wessig"
2.37,"7 ft 9 1/4 in","Zhu Jianhua"
2.38,"7 ft 9 3/4 in","Zhu Jianhua"
2.39,"7 ft 10 1/8 in","Zhu Jianhua"
2.4,"7 ft 10 1/2 in","Rudolf Povarnitsyn"
2.41,"7 ft 10 7/8 in","Igor Paklin"
2.42,"7 ft 11 1/4 in","Patrik Sjöberg"
2.43,"7 ft 11 5/8 in","Javier Sotomayor"
2.44,"8 ft 0 1/8 in","Javier Sotomayor"
2.45,"8 ft 0 1/2 in","Javier Sotomayor"
